file_name,parent_folder,A,freq,num_grids,grid_spacing,grid_pos,origin_y,origin_x,need2rotate,use_now
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine8,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,4,10,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine9,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,6,10,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine10,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,8,10,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine11,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,2,5,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine12,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,4,5,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine13,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,6,5,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine14,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,8,5,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine15,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,10,5,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine16,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,1,10,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine17,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,2,10,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine18,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,4,10,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine19,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,6,10,,20,,0.089,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine20,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,8,10,,20,,0.089,-0.075,0,1
